player_id,hand,dob,ioc,height,wikidata_id,name
100342,R,19540726.0,USA,183.0,Q53547,Vitas Gerulaitis
100343,R,19540827.0,GBR,178.0,Q1360272,John Lloyd
100344,R,19540908.0,USA,,Q24005201,Eric Friedler
100345,R,19540916.0,USA,190.0,Q3368536,Pat Dupre
100346,R,19540922.0,AUS,,Q3371590,Paul Kronk
100347,R,19540922.0,AUS,,,Peter Kronk
100348,R,19540924.0,FRA,185.0,,Gerard Toulon
100349,R,19540925.0,USA,,Q28595312,Glen Holroyd
100350,R,19541011.0,GER,,,Franz Josef Wich
100351,R,19541030.0,PUR,,,Freddie De Jesus
100352,R,19541031.0,USA,,,John Lucas
100353,R,19541101.0,USA,190.0,Q22095971,Bruce Kleege
100354,R,19541109.0,RSA,188.0,Q2898337,Bernie Mitton
100355,R,19541111.0,AUS,,Q55183442,Victor Eke
100356,R,19541112.0,AUS,178.0,Q1348791,Paul Mcnamee
100357,R,19541113.0,IND,,Q87786664,Bhanu Nunna
100358,R,19541201.0,USA,180.0,Q18641540,Mike Fishbach
100359,L,19541206.0,GBR,,Q7327373,Richard Lewis
100360,R,19541223.0,USA,190.0,Q54683,Brian Teacher
100361,R,19550101.0,GBR,,,Willie Davies
100362,R,19550121.0,USA,196.0,Q729789,Peter Fleming
100363,R,19550128.0,CZE,185.0,Q6203644,Jiri Granat
100364,R,19550129.0,GBR,188.0,Q6274466,Jonathan Smith
100365,R,19550129.0,GER,,Q84072816,Peter Holl
100366,R,19550204.0,GER,,,Heiner Seuss
100367,R,19550227.0,CHI,170.0,Q2895162,Belus Prajoux
100368,R,19550227.0,ZIM,178.0,Q13513049,Haroon Ismail
100369,R,19550304.0,FRA,180.0,Q81221296,Herve Gauvain
100370,R,19550309.0,GER,,,Helmut Beermann
100371,R,19550311.0,GER,,,Robert Baumgartner
100372,R,19550316.0,USA,173.0,Q7839620,Trey Waltke
100373,R,19550318.0,USA,,,Christopher Sylvan
100374,L,19550325.0,ESP,,Q23772064,Javier Soler
100375,R,19550407.0,USA,193.0,Q6238395,John Hayes
100376,R,19550425.0,GBR,193.0,Q2928786,Buster C Mottram
100377,R,19550512.0,GBR,185.0,Q464502,Colin Dowdeswell
100378,R,19550517.0,USA,185.0,Q5239547,David Schneider
100379,R,19550519.0,USA,175.0,Q17457380,Craig Edwards
100380,R,19550604.0,USA,193.0,Q2928827,Butch Walts
100381,R,19550611.0,USA,,,Michael Greenberg
100382,R,19550619.0,AUS,,Q2964756,Chris Kachel
100383,R,19550705.0,AUS,185.0,Q1508952,Peter Mcnamara
100384,R,19550714.0,COL,,Q4714511,Alejandro Cortes
100385,R,19550723.0,AUT,,Q19971270,Filip Krajcik
100386,R,19550723.0,ESP,,,Jose Garcia
100387,R,19550810.0,CZE,,Q106981794,Jiri Prucha
100388,R,19550812.0,USA,,,Peter Pearson
100389,R,19550814.0,USA,,,Horace Reid
